"Metrics","Variables","Interaction","Intercept_grouping","Wifull","CWI_Global","Model_Approved","Floor_Sig","Wi_Floor","CWI_Floor","Median_Sig","Wi_Median","CWI_Median","Ceiling_Sig","Wi_Ceiling","CWI_Ceiling","CV_Uncertainty","Formula"
"OCH","","","no_sub",0.5,0.496846030784558,"NO","NO",0.5,0.496846030784558,"NO",0.5,0.496846030784558,"NO",0.5,0.496846030784558,0.00630793843088451,"VAR ~ 1 + GROUP"
"OCH_prop","log10(DEPTH)","","no_sub",0.683376102907241,0.642174105264609,"NO","NO",0.186883736438973,0.175616173474088,"NO",0.984949843767694,0.925565412605436,"NO",0.650214695714545,0.611012060085257,0.060291832663374,"VAR ~ 1 + log10(DEPTH) + GROUP"
"OCH_abu","exp(VEL) DEPTH","","no_sub",0.72153944212839,0.673078639585088,"NO","NO",0.0488104666266593,0.0455322059424429,"NO",0.99999855713569,0.932835586144125,"NO",1,0.932836932101242,0.0671630678987584,"VAR ~ 1 + exp(VEL) + DEPTH + GROUP"
"EPT_EPTOCH","","","no_sub",0.5,0.473032471799701,"NO","NO",0.5,0.473032471799701,"NO",0.5,0.473032471799701,"NO",0.5,0.473032471799701,0.0539350564005972,"VAR ~ 1 + GROUP"
"ABUNDANCE","log10(VEL) DEPTH","(log10(VEL)):GROUP","no_sub",0.99999999999999,0.949523449498972,"YES","YES",1,0.949523449498982,"YES",1,0.949523449498982,"YES",1,0.949523449498982,0.0504765505010177,"VAR ~ 1 + log10(VEL) + DEPTH + (log10(VEL)):GROUP + GROUP"
"SHANNON","exp(DEPTH)","","no_sub",0.799096855585713,0.774536211731331,"YES","NO",0.376619055347391,0.365043479217285,"YES",0.933672817897676,0.90497591414113,"YES",0.999829796163083,0.969099524398264,0.0307355030653696,"VAR ~ 1 + exp(DEPTH) + GROUP"
"ASPT","poly(DEPTH,2)","","no_sub",0.998548343768821,0.96647985719457,"YES","YES",0.998621574575963,0.96655073618653,"YES",0.999999870763796,0.967884768245269,"YES",0.999996878695421,0.967881872267489,0.0321151066689613,"VAR ~ 1 + poly(DEPTH, 2) + GROUP"
"LIFE","poly(VEL,2) poly(DEPTH,2)","","no_sub",0.999999999990376,0.929785399003492,"YES","YES",0.999999999999988,0.929785399012429,"YES",1,0.929785399012441,"YES",0.999999999996182,0.929785399008891,0.0702146009875594,"VAR ~ 1 + poly(VEL, 2) + poly(DEPTH, 2) + GROUP"
"FUN_RICHNESS_ALL","","","no_sub",0.5,0.468229879492671,"NO","NO",0.5,0.468229879492671,"NO",0.5,0.468229879492671,"NO",0.5,0.468229879492671,0.0635402410146585,"VAR ~ 1 + GROUP"
"FUN_DIVERSITY_ALL","VEL","","full",0.825215364485246,0.805513940620404,"YES","NO",0.645636257121489,0.630222155407575,"YES",0.973392012347541,0.950152977487989,"YES",0.999999998100528,0.976125716700412,0.0238742814454643,"VAR ~ 1 + VEL + GROUP + SUB"
